marca;preço
Notebook Acer Aspire 5, I5-1135g7, 8GB, 256GB SSD, Nvidia Mx350 2GB, Windows 11, Prata, 15.6 FHD, A515-56g-519a - Nx.ah4al.00a;R$ 3.790,50
Notebook Acer Aspire 3, Intel Core I3 11ª Gen, 4GB, SSD 256GB, 15.6 Full HD, Windows 11 Home - A315-58-38SD;R$ 3.257,89
Pc Gamer Completo Fácil, Amd Ryzen 5 5600g, SSD 960GB, 3.9GHZ, Radeon Vega 7 8GB, Windows 10 Trial, DDR4, Fonte 500w, Monitor 19, Polegadas Kit Gamer;R$ 3.238,38
Notebook Vaio FE15 Intel Core i5-10210U, 8GB RAM, SSD 256GB, 15.6 Full HD, Windows 11, Cinza Grafite - VJFE54F11X-B0111H;R$ 3.399,99
Notebook Multi 2 em 1 Intel Celeron N4020, 4GB RAM, 64GB, Tela 11.6 HD IPS Touch, Windows 11 Home, Microsoft Office 365, Prata - PC280;R$ 1.249,99
"Notebook Asus Vivobook, Intel Core I5, 8GB, 256GB SSD, Tela de 15.6"", Cinza Escuro - X543ua-dm3457t, 8250u";R$ 2.999,00
Notebook Gamer Acer Nitro 5 An515-44-r4ka Amd Ryzen 7 Windows 11 Home 8gb 512gb Ssd Gtx 1650 15.6´;R$ 5.293,33
Case Para Notebook Até 15.6 Polegadas, Lenovo Urban Sleeve - Gx40z50942;R$ 149,00
Notebook Asus VivoBook Intel Core i7-1165G7, 16GB RAM, SSD 1TB, 15,6', GeForce MX350, Windows 11 Home, Preto - K513EQ-EJ682W;R$ 6.799,99
Notebook Lenovo Ultrafino IdeaPad 3i Intel Core i5-1135G7, 8GB RAM, SSD 256GB, 15.6 Full HD, Iris Xe, Windows 11, Cinza - 82MD0007BR;R$ 3.199,99
Notebook Gamer Acer Nitro AMD Ryzen 7-5800H, 8GB RAM, GeForce GTX 1650, 1TB SSD, 15.6 Full HD, Windows 11, Preto - AN515-45-R4S3;R$ 5.599,99
"Chromebook Samsung Intel Celeron N4500 Dual-Core, 8GB RAM, SSD 64GB e.MMC, 14"" HD Antirreflexo, Intel UHD, Google Chrome - XE340XDA-KS1BR";R$ 1.999,99
Notebook Acer Aspire 5 Intel Core i3-10110U, 4GB RAM, SSD 256GB NVMe, 15.6 Full HD Ultrafino, Windows 10 Home, Prata - A515-54-34LD;R$ 2.799,99
Notebook Samsung Book, Intel Core i5-1135G7, 8GB RAM, SSD 256GB, 15.6 Full HD, GeForce MX450, Windows 11, Branco Puro - NP550XDA-XH1BR;R$ 5.499,99
Notebook Lenovo IdeaPad 3i Intel Core i7 12GB;R$ 3.719,07
Notebook Gamer Acer Nitro 5 An515-44-r4c8, AMD Ryzen 7-4800h, RAM 16GB, SSD 256GB, HD 1TB, GTX 1650, Tela 15.6 Polegadas, Linux, Ouro, Recer;R$ 4.999,00
Notebook, Asus X543ua-gq3430t, Tela 15.6, Intel I3, Ram 4Gb, Ssd 256Gb, Windows 10, Cinza;R$ 2.231,07
Notebook Lenovo Ideapad 3I, I5-1135G7, 8GB RAM, SSD 256GB, Tela 15.6 Full HD, Intel Iris XE, Linux - 82MDS00500;R$ 2.789,10
"Notebook Gamer Legion 5 R7-5800H, 16GB, 512GB SSD, RTX3050, 4GB, 15.6"" Full HD WVA, Windows 11, Shadow Black - 82qj0000br";R$ 7.499,00
"Notebook Acer Aspire 5 Intel Core I3 1115g4 4.10ghz 11ª Geração 8gb Ddr4 256gb SSD 14"" Full Hd Windows 11 A514-54-397j";R$ 2.690,90
Trava De Segurança HP, Para Notebook, Com Segredo, 1.50M - Y0Q96LA;R$ 99,00
Macbook Air Apple, 13.3 polegadas, M1, 8GB RAM, 256GB SSD, Cinza-espacial;R$ 6.999,00
